NameEng,AddressEng,NameChi,AddressChi
TUNG CHEUNG BUILDING,1-11 SECOND STREET,東祥大廈,第二街1-11號
TAI HONG BUILDING,1D HOLLAND STREET,太康大廈,荷蘭街1D號
FUNG YU BUILDING,182-190 THIRD STREET,豐裕大廈,第三街182-190號
LUN FUNG COURT,363 DES VOEUX ROAD WEST,龍豐閣,德輔道西363號
LUNG CHEUNG GARDEN,"26 PRAYA, KENNEDY TOWN",龍翔花園,堅彌地城海旁26號
SAMTOH BUILDING,384-386 QUEEN'S ROAD WEST,三多大樓,皇后大道西384-386號
LUEN TAK APARTMENTS,45 SMITHFIELD,聯德新樓,士美非路45號
LUEN HING APARTMENTS,47 SMITHFIELD,聯興新樓,士美非路47號
SOHO 189,189 QUEEN'S ROAD WEST,西浦,皇后大道西189號
JADEVIEW COURT,38 HILL ROAD,佳景閣,山道38號
TREASURE COURT,28 BELCHER'S STREET,金寶閣,卑路乍街28號
MANHATTAN HEIGHTS,28 NEW PRAYA KENNEDY TOWN,高逸華軒,堅彌地城新海旁28號
JOYFUL BUILDING,16-18 BELCHER'S STREET,再輝大廈,卑路乍街16-18號
